,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2706730842590332,0.08319016222395585,0.01929330825805664,0.006518044315655234,100000.0,lsqr,"{'alpha': 100000, 'solver': 'lsqr'}",0.5929683400384818,0.5917201166180758,0.593469387755102,0.5955685131195335,0.5867055393586006,0.5920863896630943,0.002963205806660209,15,0.5929154518950437,0.5916531828982085,0.5919447238378449,0.5909243305491173,0.5937085465226455,0.592229247140572,0.0009772220278566081
1,0.2605865955352783,0.046242321308748516,0.011109590530395508,0.009436769975607535,50000.0,lsqr,"{'alpha': 50000, 'solver': 'lsqr'}",0.5974578741764328,0.6028571428571429,0.6011661807580175,0.6079300291545191,0.5947521865889213,0.600832643351098,0.004537471006958144,3,0.6021574344023324,0.5998892144429382,0.6010553782014839,0.5993498637046107,0.6021049255841752,0.6009113632671081,0.0011385160238236679
2,0.3206802845001221,0.057684196852047565,0.00993804931640625,0.007861924112413031,20000.0,lsqr,"{'alpha': 20000, 'solver': 'lsqr'}",0.5987405982158475,0.6051895043731779,0.6008163265306122,0.6095043731778426,0.5975510204081632,0.6023603223286026,0.004419435922083936,1,0.6027696793002916,0.6013469191411204,0.6022506960539934,0.6002244865235201,0.6033148204836665,0.6019813203005183,0.0010918997846494087
3,0.2954345703125,0.036074115485067317,0.013800477981567385,0.016776756060054143,10000.0,lsqr,"{'alpha': 10000, 'solver': 'lsqr'}",0.5966415952422599,0.6029737609329446,0.600466472303207,0.6086297376093295,0.5956851311953353,0.6008792900374339,0.004681106216224597,2,0.6019825072886298,0.6003994110873019,0.6013177650471567,0.5992624014227198,0.6021340796781388,0.6010192329047894,0.0010705641735516355
4,0.3087564468383789,0.038044006775891065,0.004932165145874024,0.0007627684878481843,5000.0,lsqr,"{'alpha': 5000, 'solver': 'lsqr'}",0.5968748177948807,0.6027988338192419,0.5993002915451895,0.6086297376093295,0.594868804664723,0.6004944548751618,0.004851146630506548,4,0.6014285714285714,0.6000787160537019,0.600720106120902,0.5988396670602469,0.6017404994096296,0.6005615120146104,0.00103583757242528
5,0.1891347885131836,0.03774243010239279,0.006248664855957031,0.002956334730362867,1000.0,lsqr,"{'alpha': 1000, 'solver': 'lsqr'}",0.5958836219462422,0.6030320699708455,0.5990670553935861,0.6076967930029155,0.5944023323615161,0.6000163263402176,0.004849354427109462,5,0.6003352769679301,0.5995247882683926,0.6001807553825746,0.5979213131003921,0.6015509977988659,0.5999026263036311,0.001187437119040578
6,0.2104369163513184,0.05651877724592149,0.012363481521606443,0.009408541104405513,500.0,lsqr,"{'alpha': 500, 'solver': 'lsqr'}",0.5954171768410005,0.6029737609329446,0.5988921282798834,0.6078717201166179,0.5940524781341108,0.5998414012664576,0.0050652513308448895,6,0.6004227405247814,0.599655981691229,0.6000932931006837,0.5977318114896284,0.6015218437049022,0.599885134102245,0.0012410059032167632
7,0.2501391410827637,0.04649177126606482,0.006759357452392578,0.0022126492380825547,100.0,lsqr,"{'alpha': 100, 'solver': 'lsqr'}",0.5950673430120693,0.6027405247813411,0.598600583090379,0.6073469387755102,0.5938192419825072,0.5995148744621054,0.0049960473057680975,7,0.6005830903790087,0.5995102112214108,0.6001078701476655,0.5977172344426466,0.6014781125639568,0.5998793037509376,0.0012581351934795573
8,0.2249485969543457,0.04568826051963084,0.015292596817016604,0.016915170957941237,50.0,lsqr,"{'alpha': 50, 'solver': 'lsqr'}",0.5948924260976036,0.6027405247813411,0.5986588921282798,0.6073469387755102,0.5938192419825072,0.5994915511189374,0.005025595858222228,8,0.6005685131195335,0.5995976735033017,0.6001078701476655,0.5977026573956647,0.6015218437049022,0.5998997115742135,0.001268086133343905
9,0.2033287048339844,0.04628386684807262,0.0037789344787597656,0.00047534150162221366,10.0,lsqr,"{'alpha': 10, 'solver': 'lsqr'}",0.5948341204594484,0.6027405247813411,0.5987172011661808,0.6074052478134111,0.5937026239067056,0.5994798894473534,0.0050790641331633435,9,0.600597667638484,0.5996122505502836,0.6000495619597382,0.5977172344426466,0.6014781125639568,0.5998909654310218,0.0012527094862819744
10,0.20523200035095213,0.0802833763130222,0.007077074050903321,0.00582178593016006,5.0,lsqr,"{'alpha': 5, 'solver': 'lsqr'}",0.5948341204594484,0.6027405247813411,0.5987172011661808,0.6074052478134111,0.5937026239067056,0.5994798894473534,0.0050790641331633435,9,0.6005830903790087,0.5996122505502836,0.6000495619597382,0.5977026573956647,0.6014781125639568,0.5998851345697304,0.0012561393132743414
11,0.2088938236236572,0.03619148248777457,0.006985092163085936,0.003769822855531209,1.0,lsqr,"{'alpha': 1, 'solver': 'lsqr'}",0.5947758148212933,0.6026822157434403,0.5987172011661808,0.6074052478134111,0.5937026239067056,0.5994565661041854,0.00508232371657371,11,0.6005830903790087,0.5995685194093381,0.6000349849127564,0.5977026573956647,0.6014781125639568,0.599873472932145,0.0012577716909878205
12,0.2300840854644776,0.05077195935129857,0.016452741622924802,0.012786854088194877,0.1,lsqr,"{'alpha': 0.1, 'solver': 'lsqr'}",0.5947758148212933,0.6026822157434403,0.5987172011661808,0.6074052478134111,0.5937026239067056,0.5994565661041854,0.00508232371657371,11,0.6005830903790087,0.5995685194093381,0.6000349849127564,0.5977026573956647,0.6014781125639568,0.599873472932145,0.0012577716909878205
