,epoch,loss,avg_loss,reward,avg_reward
0,0.0,1054.5791015625,42.1831640625,166.0,6.6400000000000015
1,1.0,2415.36474609375,96.61458984375,567.0,22.68
2,2.0,2415.36474609375,189.36459609374998,567.0,44.452799999999996
3,3.0,2415.36474609375,278.40460209375,567.0,65.354688
4,4.0,2415.36474609375,363.88300785375,567.0,85.42050047999999
5,5.0,2415.36474609375,445.94227738334996,567.0,104.68368046079999
6,6.0,2415.36474609375,524.719176131766,567.0,123.17633324236797
7,7.0,2415.36474609375,600.3449989302453,567.0,140.92927991267325
8,8.0,2415.36474609375,672.9457888167855,567.0,157.97210871616633
9,9.0,2415.36474609375,742.642547107864,567.0,174.33322436751968
10,10.0,2415.36474609375,809.5514350672993,567.0,190.0398953928189
11,11.0,1318.1341552734375,829.8947438755448,228.0,191.55829957710614
12,12.0,1309.747802734375,849.088866229898,228.0,193.0159675940219
13,13.0,1309.747802734375,867.515223690077,228.0,194.41532889026104
14,14.0,1309.747802734375,885.204526851849,228.0,195.7587157346506
15,15.0,1309.747802734375,902.18625788715,228.0,197.04836710526456
16,16.0,1309.747802734375,918.4887196810389,228.0,198.28643242105397
17,17.0,1309.747802734375,934.1390830031723,228.0,199.47497512421182
18,18.0,1309.747802734375,949.1634317924204,228.0,200.61597611924336
19,19.0,1309.747802734375,963.5868066300985,228.0,201.71133707447362
20,20.0,1309.747802734375,977.4332464742696,228.0,202.76288359149467
21,21.0,844.9349365234375,972.1333140762363,108.0,198.97236824783488
22,22.0,853.0147094726562,967.3685698920931,108.0,195.33347351792148
23,23.0,844.3051147460938,962.4460316862531,170.0,194.3201345772046
24,24.0,842.7241821289062,957.6571577039592,170.0,193.34732919411644
25,25.0,852.2716674804688,953.4417380950196,170.0,192.41343602635177
26,26.0,579.00048828125,938.4640881024687,47.0,186.59689858529768
27,27.0,842.3026123046875,934.6176290705574,170.0,185.93302264188577
28,28.0,852.2716674804688,931.3237906069538,170.0,185.29570173621033
29,29.0,889.8359985351562,929.6642789240818,170.0,184.6838736667619
30,30.0,667.7069702148438,919.1859865757123,47.0,179.17651872009142
31,31.0,869.3663330078125,917.1932004329963,170.0,178.80945797128777
32,32.0,817.46435546875,913.2040466344264,170.0,178.45707965243628
33,33.0,408.933349609375,893.0332187534243,35.0,172.71879646633883
34,34.0,816.7936401367188,889.9836356087561,122.0,170.69004460768528
35,35.0,769.5767211914062,885.1673590320621,122.0,168.74244282337787
36,36.0,431.46649169921875,867.0193243387484,46.0,163.83274511044274
37,37.0,788.4130859375,863.8750748026985,150.0,163.27943530602502
38,38.0,1039.5418701171875,870.9017466152781,198.0,164.66825789378402
39,39.0,993.0196533203125,875.7864628834793,198.0,166.00152757803264
40,40.0,968.958251953125,879.5133344462652,198.0,167.28146647491133
41,41.0,774.8171997070312,875.3254890566957,182.0,167.87020781591488
42,42.0,480.0119323730469,859.5129467893496,68.0,163.8753995032783
43,43.0,1791.01025390625,896.7728390740256,477.0,176.40038352314716
44,44.0,1291.315185546875,912.5545329329395,337.0,182.82436818222126
45,45.0,1761.707763671875,946.5206621624969,477.0,194.59139345493242
46,46.0,1719.358154296875,977.434161847872,477.0,205.88773771673513
47,47.0,1679.508056640625,1005.5171176395821,477.0,216.73222820806572
48,48.0,753.8170166015625,995.4491135980613,146.0,213.90293907974308
49,49.0,1131.529296875,1000.8923209291388,276.0,216.38682151655334
50,50.0,2479.6015625,1060.0406905919733,531.0,228.9713486558912
51,51.0,2514.35498046875,1118.2132621870444,531.0,241.05249470965555
52,52.0,1169.5684814453125,1120.267470957375,276.0,242.45039492126932
53,53.0,1244.90771484375,1125.2530807128298,276.0,243.79237912441855
54,54.0,615.9667358398438,1104.8816269179104,147.0,239.9206839594418
55,55.0,1117.1943359375,1105.374135278694,276.0,241.3638566010641
56,56.0,1310.29052734375,1113.570790961296,311.0,244.14930233702154
57,57.0,322.3914489746094,1081.9236172818287,45.0,236.18333024354067
58,58.0,264.75189208984375,1049.2367482741492,45.0,228.53599703379905
59,59.0,2448.19287109375,1105.1949931869333,590.0,242.99455715244707
60,60.0,2385.52783203125,1156.408306740706,602.0,257.3547748663492
61,61.0,824.744873046875,1143.1417693929527,162.0,253.54058387169522
62,62.0,459.3571472167969,1115.7903845059066,92.0,247.0789605168274
63,63.0,898.6478271484375,1107.1046822116077,234.0,246.5558020961543
64,64.0,891.234375,1098.4698699231433,234.0,246.0535700123081
65,65.0,891.959228515625,1090.2094442668424,234.0,245.57142721181577
66,66.0,914.0091552734375,1083.161432707106,234.0,245.10857012334316
67,67.0,963.0184326171875,1078.3557127035094,269.0,246.06422731840942
68,68.0,799.9622802734375,1067.2199754063065,234.0,245.58165822567304
69,69.0,955.3538818359375,1062.7453316634917,269.0,246.5183918966461
70,70.0,840.33740234375,1053.849014490702,234.0,246.01765622078028
71,71.0,956.0916748046875,1049.9387209032614,269.0,246.93694997194905
72,72.0,417.7163391113281,1024.649825631584,52.0,239.1394719730711
73,73.0,471.6794738769531,1002.5310115613987,59.0,231.93389309414826
74,74.0,661.4742431640625,988.8887408255052,153.0,228.77653737038233
75,75.0,515.5267944335938,969.9542629698287,67.0,222.30547587556703
76,76.0,496.1919860839844,951.003771894395,86.0,216.85325684054433
77,77.0,205.2459716796875,921.1734598858067,5.0,208.37912656692254
78,78.0,686.1369018554688,911.7719975645931,122.0,204.92396150424563
79,79.0,671.4894409179688,902.1606952987281,122.0,201.60700304407578
80,80.0,678.9225463867188,893.2311693422477,122.0,198.42272292231274
81,81.0,656.6355590820312,883.7673449318389,153.0,196.60581400542023
82,82.0,685.5358276367188,875.838084240034,122.0,193.62158144520342
83,83.0,674.7050170898438,867.7927615540264,153.0,191.9967181873953
84,84.0,281.78887939453125,844.3526062676465,14.0,184.87684945989946
85,85.0,248.1537628173828,820.5046525296359,18.0,178.20177548150346
86,86.0,246.43719482421875,797.5419542214192,18.0,171.7937044622433
87,87.0,264.02191162109375,776.2011525174062,18.0,165.6419562837536
88,88.0,615.8101806640625,769.7855136432723,153.0,165.13627803240345
89,89.0,361.7696228027344,753.4648780096508,35.0,159.93082691110732
90,90.0,504.26641845703125,743.4969396275459,71.0,156.373593834663
91,91.0,513.7517700195312,734.3071328432252,72.0,152.99865008127648
92,92.0,663.724853515625,731.4838416701213,80.0,150.0787040780254
93,93.0,382.4246826171875,717.5214753080039,31.0,145.3155559149044
94,94.0,287.82159423828125,700.333480065215,12.0,139.9829336783082
95,95.0,608.5707397460938,696.66297045245,60.0,136.78361633117586
96,96.0,289.595458984375,680.380269993727,26.0,132.35227167792883
97,97.0,714.947265625,681.7629498189779,135.0,132.45818081081165
98,98.0,780.27099609375,685.7032716699688,162.0,133.6398535783792
99,99.0,409.68768310546875,674.6626481273887,38.0,129.81425943524403
100,100.0,255.71536254882812,657.9047567042462,9.0,124.98168905783426
101,101.0,925.8995971679688,668.6245503227951,234.0,129.34242149552088
102,102.0,1030.70849609375,683.1079081536333,227.0,133.24872463570006
103,103.0,1077.8968505859375,698.8994658509255,238.0,137.43877565027205
104,104.0,1080.1865234375,714.1509481543885,232.0,141.22122462426117
105,105.0,1038.7935791015625,727.1366533922754,227.0,144.65237563929074
106,106.0,214.833740234375,706.6445368659594,8.0,139.1862806137191
107,107.0,249.8829803466797,688.3740746051882,9.0,133.97882938917036
108,108.0,937.9947509765625,698.3589016600431,234.0,137.9796762136035
109,109.0,215.2604217529297,679.0349624637586,8.0,132.78048916505935
110,110.0,437.436767578125,669.3710346683332,38.0,128.98926959845699
111,111.0,663.8527221679688,669.1503021683186,153.0,129.9496988145187
112,112.0,1165.354736328125,688.9984795347109,255.0,134.95171086193795
113,113.0,588.52685546875,684.9796145720725,131.0,134.79364242746044
114,114.0,711.3552856445312,686.0346414149709,153.0,135.52189673036202
115,115.0,829.1336059570312,691.7585999966533,143.0,135.82102086114753
116,116.0,368.0738830566406,678.8112113190527,-4.0,130.22818002670164
117,117.0,719.181884765625,680.4260382569157,126.0,130.05905282563356
118,118.0,671.3615112304688,680.0634571758578,89.0,128.41669071260822
119,119.0,436.6155090332031,670.3255392501516,-4.0,123.12002308410389
120,120.0,606.9056396484375,667.788743266083,135.0,123.59522216073974
121,121.0,796.284423828125,672.9285704885647,125.0,123.65141327431014
122,122.0,388.9384765625,661.5689667315221,-4.0,118.54535674333773
123,123.0,739.2023315429688,664.67430132398,153.0,119.92354247360423
124,124.0,569.0940551757812,660.851091478052,66.0,117.76660077466006
125,125.0,739.5713500976562,663.9999018228361,121.0,117.89593674367366
126,126.0,180.72756958007812,644.6690085331257,3.0,113.30009927392672
127,127.0,799.43115234375,650.8594942855507,140.0,114.36809530296964
128,128.0,811.94873046875,657.3030637328786,140.0,115.39337149085084
129,129.0,862.8060302734375,665.523182394501,222.0,119.6576366312168
130,130.0,818.5496826171875,671.6442424034085,140.0,120.47133116596812
131,131.0,424.3753356933594,661.7534861350065,36.0,117.0924779193294
132,132.0,817.6245727539062,667.9883295997624,117.0,117.08877880255622
133,133.0,800.0574340820312,673.2710937790532,227.0,121.48522765045396
134,134.0,839.7020263671875,679.9283310825786,222.0,125.5058185444358
135,135.0,390.5103454589844,668.3516116576347,18.0,121.20558580265836
136,136.0,822.7998046875,674.5295393788293,222.0,125.23736237055202
137,137.0,386.6083068847656,663.0126900790667,18.0,120.94786787572994
138,138.0,838.8963012695312,670.0480345266852,222.0,124.98995316070074
139,139.0,469.41168212890625,662.022580430774,67.0,122.6703550342727
140,140.0,482.42486572265625,654.8386718424493,67.0,120.4435408329018
141,141.0,742.9176635742188,658.3618315117201,120.0,120.42579919958573
142,142.0,654.2182006835938,658.196086278595,113.0,120.12876723160228
143,143.0,607.0014038085938,656.1482989797948,113.0,119.84361654233818
144,144.0,593.2799072265625,653.6335633096655,113.0,119.56987188064464
145,145.0,664.9389038085938,654.0857769296226,113.0,119.30707700541885
146,146.0,628.3783569335938,653.0574801297814,113.0,119.05479392520209
147,147.0,590.0964965820312,650.5390407878714,113.0,118.812602168194
